event_type,previous_action,current_action,n_transitions,fraction_within_event_type
action_identity_change_without_optimality_change,UP,UP,0,0.0
action_identity_change_without_optimality_change,UP,DOWN,0,0.0
action_identity_change_without_optimality_change,UP,LEFT,0,0.0
action_identity_change_without_optimality_change,UP,RIGHT,3,0.2727272727272727
action_identity_change_without_optimality_change,DOWN,UP,0,0.0
action_identity_change_without_optimality_change,DOWN,DOWN,0,0.0
action_identity_change_without_optimality_change,DOWN,LEFT,3,0.2727272727272727
action_identity_change_without_optimality_change,DOWN,RIGHT,0,0.0
action_identity_change_without_optimality_change,LEFT,UP,0,0.0
action_identity_change_without_optimality_change,LEFT,DOWN,3,0.2727272727272727
action_identity_change_without_optimality_change,LEFT,LEFT,0,0.0
action_identity_change_without_optimality_change,LEFT,RIGHT,0,0.0
action_identity_change_without_optimality_change,RIGHT,UP,2,0.18181818181818182
action_identity_change_without_optimality_change,RIGHT,DOWN,0,0.0
action_identity_change_without_optimality_change,RIGHT,LEFT,0,0.0
action_identity_change_without_optimality_change,RIGHT,RIGHT,0,0.0
suboptimal_to_optimal_recovery,UP,UP,0,0.0
suboptimal_to_optimal_recovery,UP,DOWN,0,0.0
suboptimal_to_optimal_recovery,UP,LEFT,0,0.0
suboptimal_to_optimal_recovery,UP,RIGHT,0,0.0
suboptimal_to_optimal_recovery,DOWN,UP,0,0.0
suboptimal_to_optimal_recovery,DOWN,DOWN,0,0.0
suboptimal_to_optimal_recovery,DOWN,LEFT,2,0.2222222222222222
suboptimal_to_optimal_recovery,DOWN,RIGHT,0,0.0
suboptimal_to_optimal_recovery,LEFT,UP,2,0.2222222222222222
suboptimal_to_optimal_recovery,LEFT,DOWN,0,0.0
suboptimal_to_optimal_recovery,LEFT,LEFT,0,0.0
suboptimal_to_optimal_recovery,LEFT,RIGHT,0,0.0
suboptimal_to_optimal_recovery,RIGHT,UP,1,0.1111111111111111
suboptimal_to_optimal_recovery,RIGHT,DOWN,3,0.3333333333333333
suboptimal_to_optimal_recovery,RIGHT,LEFT,1,0.1111111111111111
suboptimal_to_optimal_recovery,RIGHT,RIGHT,0,0.0
sustained_optimal_to_suboptimal,UP,UP,0,0.0
sustained_optimal_to_suboptimal,UP,DOWN,0,0.0
sustained_optimal_to_suboptimal,UP,LEFT,0,0.0
sustained_optimal_to_suboptimal,UP,RIGHT,0,0.0
sustained_optimal_to_suboptimal,DOWN,UP,0,0.0
sustained_optimal_to_suboptimal,DOWN,DOWN,0,0.0
sustained_optimal_to_suboptimal,DOWN,LEFT,0,0.0
sustained_optimal_to_suboptimal,DOWN,RIGHT,0,0.0
sustained_optimal_to_suboptimal,LEFT,UP,0,0.0
sustained_optimal_to_suboptimal,LEFT,DOWN,0,0.0
sustained_optimal_to_suboptimal,LEFT,LEFT,0,0.0
sustained_optimal_to_suboptimal,LEFT,RIGHT,1,1.0
sustained_optimal_to_suboptimal,RIGHT,UP,0,0.0
sustained_optimal_to_suboptimal,RIGHT,DOWN,0,0.0
sustained_optimal_to_suboptimal,RIGHT,LEFT,0,0.0
sustained_optimal_to_suboptimal,RIGHT,RIGHT,0,0.0
transient_optimal_to_suboptimal,UP,UP,0,0.0
transient_optimal_to_suboptimal,UP,DOWN,0,0.0
transient_optimal_to_suboptimal,UP,LEFT,2,0.4
transient_optimal_to_suboptimal,UP,RIGHT,0,0.0
transient_optimal_to_suboptimal,DOWN,UP,0,0.0
transient_optimal_to_suboptimal,DOWN,DOWN,0,0.0
transient_optimal_to_suboptimal,DOWN,LEFT,0,0.0
transient_optimal_to_suboptimal,DOWN,RIGHT,1,0.2
transient_optimal_to_suboptimal,LEFT,UP,0,0.0
transient_optimal_to_suboptimal,LEFT,DOWN,1,0.2
transient_optimal_to_suboptimal,LEFT,LEFT,0,0.0
transient_optimal_to_suboptimal,LEFT,RIGHT,1,0.2
transient_optimal_to_suboptimal,RIGHT,UP,0,0.0
transient_optimal_to_suboptimal,RIGHT,DOWN,0,0.0
transient_optimal_to_suboptimal,RIGHT,LEFT,0,0.0
transient_optimal_to_suboptimal,RIGHT,RIGHT,0,0.0
